technology,sector,output,capex,opex,lifetime,availability,capture_rate,process_emissions,first_year,ramp_limit,fuel,fuel_use,source,retrieved,basis
gas_boiler,heat,heat,8.0,0.3,20,0.9,0.0,0.0,0,,gas,1.11,industrial boiler ~90% eff; capex indicative,2026-08-16,judgement
elec_boiler,heat,heat,9.0,0.3,20,0.9,0.0,0.0,0,,electricity,1.02,electrode boiler ~98% eff; capex indicative,2026-08-16,judgement
heat_pump,heat,heat,25.0,0.6,18,0.9,0.0,0.0,2026,8.0,electricity,0.35,industrial HP COP ~2.9; capex indicative; ramp = supply chain scaled to v2 all-industry universe,2026-08-16,judgement
biomass_boiler,heat,heat,14.0,0.5,20,0.85,0.0,0.0,0,3.0,biomass,1.18,biomass boiler ~85% eff; ramp = feedstock build scaled to v2 universe (biomass supply cap separate),2026-08-16,judgement
hydrogen_boiler,heat,heat,9.5,0.35,20,0.9,0.0,0.0,2027,5.0,hydrogen,1.15,H2-ready boiler; first year = HAR timeline; ramp scaled to v2 universe,2026-08-16,derived
gas_boiler_ccs,heat,heat,30.0,1.2,20,0.85,0.90,0.0,2028,3.0,gas,1.25,capture on gas heat; first year = Track-1 ops; ramp scaled to v2 universe,2026-08-16,judgement
bof,steel,steel,400.0,12.0,25,0.9,0.0,1700.0,0,,gas,3.0,BF-BOF route; process EF ~1.7 tCO2/t + fuel proxy,2026-08-16,derived
eaf,steel,steel,417.0,10.0,25,0.9,0.0,50.0,2027,,electricity,2.2,Port Talbot EAF GBP1.25bn / 3 Mt-yr; ~0.6 MWh/t,2026-08-16,official
cement_kiln,cement,cement,150.0,5.0,30,0.9,0.0,520.0,0,,gas,3.5,dry kiln; calcination ~520 ktCO2e/Mt clinker,2026-08-16,official
cement_kiln_ccs,cement,cement,375.0,12.0,30,0.85,0.95,520.0,2028,0.5,gas,3.9,amine capture (Padeswood-class); first year = Track-1 ops,2026-08-16,derived
